Timestamp;INV1-CH_ETOTAL-0 [Wh];INV1-CH_PAC_RAW-0 [W]
2026-03-29 00:00:00;0;0
2026-03-29 00:15:00;0;0
2026-03-29 00:30:00;0;0
2026-03-29 00:45:00;0;0
2026-03-29 01:00:00;0;0
2026-03-29 01:15:00;0;0
2026-03-29 01:30:00;0;0
2026-03-29 01:45:00;0;0
2026-03-29 03:00:00;0;0
2026-03-29 03:15:00;0;0
2026-03-29 03:30:00;0;0
2026-03-29 03:45:00;0;0
2026-03-29 04:00:00;0;0
2026-03-29 04:15:00;0;0
2026-03-29 04:30:00;0;0
2026-03-29 04:45:00;0;0
2026-03-29 05:00:00;0;0
2026-03-29 05:15:00;0;0
2026-03-29 05:30:00;0;0
2026-03-29 05:45:00;0;0
2026-03-29 06:00:00;0;0
2026-03-29 06:15:00;52;449
2026-03-29 06:30:00;217;896
2026-03-29 06:45:00;493;1340
2026-03-29 07:00:00;879;1780
2026-03-29 07:15:00;1375;2215
2026-03-29 07:30:00;1979;2642
2026-03-29 07:45:00;2689;3061
2026-03-29 08:00:00;3502;3471
2026-03-29 08:15:00;4417;3870
2026-03-29 08:30:00;5430;4256
2026-03-29 08:45:00;6538;4629
2026-03-29 09:00:00;7737;4988
2026-03-29 09:15:00;9025;5331
2026-03-29 09:30:00;10396;5657
2026-03-29 09:45:00;11847;5965
2026-03-29 10:00:00;13372;6255
2026-03-29 10:15:00;14968;6524
2026-03-29 10:30:00;16629;6774
2026-03-29 10:45:00;18350;7002
2026-03-29 11:00:00;20125;7208
2026-03-29 11:15:00;21949;7391
2026-03-29 11:30:00;23816;7551
2026-03-29 11:45:00;25721;7687
2026-03-29 12:00:00;27656;7799
2026-03-29 12:15:00;29617;7887
2026-03-29 12:30:00;31597;7950
2026-03-29 12:45:00;33590;7987
2026-03-29 13:00:00;35589;8000
2026-03-29 13:15:00;37588;7987
2026-03-29 13:30:00;39581;7950
2026-03-29 13:45:00;41562;7887
2026-03-29 14:00:00;43524;7799
2026-03-29 14:15:00;45462;7687
2026-03-29 14:30:00;47369;7551
2026-03-29 14:45:00;49238;7391
2026-03-29 15:00:00;51066;7208
2026-03-29 15:15:00;52844;7002
2026-03-29 15:30:00;54569;6774
2026-03-29 15:45:00;56234;6524
2026-03-29 16:00:00;57834;6255
2026-03-29 16:15:00;59364;5965
2026-03-29 16:30:00;60820;5657
2026-03-29 16:45:00;62197;5331
2026-03-29 17:00:00;63490;4988
2026-03-29 17:15:00;64696;4629
2026-03-29 17:30:00;65810;4256
2026-03-29 17:45:00;66829;3870
2026-03-29 18:00:00;67751;3471
2026-03-29 18:15:00;68571;3061
2026-03-29 18:30:00;69288;2642
2026-03-29 18:45:00;69899;2215
2026-03-29 19:00:00;70402;1780
2026-03-29 19:15:00;70796;1340
2026-03-29 19:30:00;71079;896
2026-03-29 19:45:00;71251;449
2026-03-29 20:00:00;71311;0
2026-03-29 20:15:00;71311;0
2026-03-29 20:30:00;71311;0
2026-03-29 20:45:00;71311;0
2026-03-29 21:00:00;71311;0
2026-03-29 21:15:00;71311;0
2026-03-29 21:30:00;71311;0
2026-03-29 21:45:00;71311;0
2026-03-29 22:00:00;71311;0
2026-03-29 22:15:00;71311;0
2026-03-29 22:30:00;71311;0
2026-03-29 22:45:00;71311;0
2026-03-29 23:00:00;71311;0
2026-03-29 23:15:00;71311;0
2026-03-29 23:30:00;71311;0
2026-03-29 23:45:00;71311;0
